teks,sentiment,score
Jiir negara bhutan 100% impor dr india berasny.. bkal inflasi gila2 an dzna,negative,0.9951925277709961
"tidak apa"" beras kurang juga masih ada singkong sebagai pengganti berae",positive,0.979050874710083
"Undia betul, mengutamakan negaranya untuk krisis pangan, lain di lndonesia , ada beras tapi di jual murah lebih menginfor beras ke lndonesia",negative,0.7865705490112305
"Kalo beras habis saya punya jagunt banyak , sayuran tinggal metik. Cabe tinggal metik , udud juga tinggal tingwe , mbako sumbing ga kalah sama rasa rokok yang mahal2",positive,0.7406856417655945
Bohong,negative,0.9979766011238098
PETANI PADI TAK DIHARGAI DI NEGERI INI KRN IMPORT BERAS ADALAH ANDALAN PARA PENGAMBIL KEPUTUSAN DI NEGERI INI PDHSL NEGERI INI KAYA DGN SDA YG SUBUR.😂😂,negative,0.7605099678039551
"Pengen ketawa ,
Krisis pangan tapi sawah ladang kau jadikan perumahan...",negative,0.9951527118682861
Gpp lah indo makan batu bara aja😂😂,negative,0.9789014458656311
Persiapan survival,neutral,0.8214024901390076
mantap tahan terus,positive,0.9956586360931396
"ApBN terbesar nomer satu belanja pegawai fokuskan ke situ aja,, lebih oke, efisiensi ASN",positive,0.9545254111289978
Indonesia saat nya perlu ada program pembebasan lahan untuk penanaman padi sebanyak2nya,neutral,0.9921814203262329
"Hanya resto tertentu di indo yg jual masakan india termasuk beras panjang nya, dari semua beras, yg terbaik beras japan pulen dan terbaik dari rasa dan sehat",positive,0.9945423603057861
"Se7...
Biar eropa merasakan.
Betapa sakitnya di tindas.",negative,0.9868054389953613
aku beli beras dari petani langsung,neutral,0.983113169670105
Goreng terus bosss sampe akhur tahunbb,positive,0.9016097784042358
SWASEMBADA BERAS,positive,0.9450778365135193
Ra'ayat asia kuat bangat makan beras.,positive,0.6841428279876709
"Syang sekali indonesia masih import beras dr negara lain termasuk india,",negative,0.37042099237442017
"Dikampung ku juga dibawah kaki gunung sudah beralih ke sawit. Dulu masih bagus banget banyak sawah dan di tanam padi, pemandangan jg bagus. Sekarang sswahnya berubah jd lading sawit",positive,0.9962097406387329
Kebanyakan orang india gak banyak makan nasi,negative,0.9574440717697144
"kereen india juga main..
nyusul rusia yg stop ekspor gandum...",neutral,0.8843643665313721
Untung aku punya tanah 2 hektar persiapan swadaya pangan mandiri,neutral,0.5465052723884583
Alkhmdllh....semoga cpat Kiamat,positive,0.8182583451271057
"Emang harus di kurangi karna sedang terjadi krisis pangan.   
...",negative,0.9843952655792236
BRIN bisanya penelitiaya tetang pemilu 🤣🤣🤣  bikin drone gagal padahal dananya Ratusan milyar,negative,0.9158623814582825
