id,text,label
1,Maling yang sebenarnya sudah di pastikan bernama lulung,negative
2,jiir negara bhutan impor dari india berasny bakal inflasi gila an dzna,negative
3,tidak apaberas kurang juga masih ada singkong sebagai pengganti berae,positive
4,undia betulmengutamakan negaranya untuk krisis panganlain di lndonesia ada beras tapi di jual murah lebih menginfor beras ke lndonesia,negative
5,kalo beras habis saya punya jagunt banyak sayuran tinggal metik cabe tinggal metik udud juga tinggal tingwe mbako sumbing enggak kalah sama rasa rokok yang mahal,positive
6,Penasaran dengan ulasan orang spesial cari waktu ke warung sale Awalnya semangat Menembus macet Demilah Tapi kecewa dengan jalannya Selain jauh kondisi jalan yang buruk membuat semangat mulai luntur Phisik bangunan unik ada musik lift Kapasitas ruangan terbatas kayaknya Menu cukup unik dan kreatif Tapi belum cukup berharga mengobati kecewanya perjalanan,negative
7,pengin ketawakrisis pangan tapi sawah ladang kau jadikan perumahan,negative
8,Saya dan isteri tergoda untuk mengunjungi restoran ini saat kami sekeluarga berkunjung ke pontianak minggu lalu karena berdasarkan penilaian trip advisor abang kepiting merupakan restoran terpopuler di pontianak Malam sekitar jam saya dan isteri sudah sampai dan mendapati suasana restoran yang tidak terlalu ramai terisi sekitar meja saja karena kami hanya berdua ingin berbincang,neutral
9,Porsinya banyak kepiting kisaran ribu porsi Udang bakarnya enak Enak bumbunya penuh rempah Harga dan rasanya bersaing dengan perahu seafood jalan sumatera,positive
10,enggak apa apa lah indonesia makan batu bara saja,negative
11,persiapan survival,neutral
12,apbn terbesar nomer satu belanja pegawai fokuskan ke situ saja lebih okeefisiensi asn,positive
13,indonesia saat nya perlu ada program pembebasan lahan untuk penanaman padi sebanyaknya,neutral
14,Dari segi letak lokasi cukup mudah dicari Bangunan dan isi bagian di dalamnya menarik apalagi ada taman kecil di dalamnya yang diisi juga dengan gentong yang airnya dibiatkan mengalir terus Membuat suasananya jadi tambah romantis dan menyenangkan Menu yang disajikan lumayan variatif dan dari segi rasa lumayan enak,positive
15,hanya resto tertentu di indonesia yang jual masakan india termasuk beras panjang nyadari semua berasyg terbaik beras japan pulen dan terbaik dari rasa dan sehat,positive
